Match Type,Date,Time (EST),Team One,Team two,Venue,League,Division Name,Umpire One,Umpire Two,Umpire Three,Umpire Four,Match Manager,Scorer One,Scorer Two,Result,Score Summary
league,2026-05-02,14:30:00,Michigan Warriors MIWA,Majestic Lions CC MLCC,"Lasky Recreation Center, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-02,14:30:00,The Squad Cricket Club TSXI,Farmington CC Kings XI FCXI,Jayne Field,2026 F40 & T30,T30,,,,,,,,,
league,2026-05-02,09:00:00,Mavericks Cricket Club MVCC,Michigan Rangers CC MIRC,"Lasky Recreation Center, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-02,09:00:00,Michigan International CA Chargers MICC,United CC UNCC,Jayne Field,2026 F40 & T30,T30,,,,,,,,,
league,2026-05-03,16:00:00,Michigan Elite CC MELC,MYCA Elite MYCA,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division III,,,,,,,,,
league,2026-05-03,16:00:00,Crowned Strikers CRWN,DETROIT ICE DICE,"Lasky Recreation Center, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-03,16:00:00,Sylhet Express SHEP,Sparks CC SPCC,Jayne Field,2026 T20,Division III,,,,,,,,,
league,2026-05-03,12:30:00,Farmington Stars FSCC,Odia CA Titans ODCT,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division III,,,,,,,,,
league,2026-05-03,12:30:00,Aadukalam CC Chembians ADCB,Detroit Eagles Cricket Club DEEG,"Lasky Recreation Center, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-03,12:30:00,Michigan International CA Firebirds MIFB,Prime Strikers PRSD,Jayne Field,2026 T20,Division III,,,,,,,,,
league,2026-05-03,08:45:00,Farmington CC Falcons FAFL,Novi Vikings NVVK,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division III,,,,,,,,,
league,2026-05-03,08:45:00,MACHI CC MACH,Michigan Rising Stars CC MRSC,Jayne Field,2026 T20,Division III,,,,,,,,,
league,2026-05-03,08:45:00,Motor City Chargers Cricket Club MCC,Mavericks Cricket Club MVCC,"Lasky Recreation Center, Detroit",2026 T20,Division II,,,,,,,,,
league,2026-05-09,14:30:00,South Peninsula Cricket Association SPCA,Dark Invaders CC DARI,"Joseph J. Delia Jr. Park, Sterling Heights",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-09,14:30:00,Michigan Rangers CC MIRC,South Lyon Cricket Club Eagles SLCE,"Lasky Recreation Center, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-09,14:30:00,The Squad Cricket Club TSXI,United CC UNCC,Jayne Field,2026 F40 & T30,T30,,,,,,,,,
league,2026-05-09,09:00:00,Detroit Super Kings CC Bulls DSKB,Big League Arena CC Beasts BLAB,"Joseph J. Delia Jr. Park, Sterling Heights",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-09,09:00:00,Michigan International CA Falcons MICF,Michigan Warriors MIWA,"Lasky Recreation Center, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-09,09:00:00,Farmington CC Kings XI FCXI,Motown CC MOCC,Jayne Field,2026 F40 & T30,T30,,,,,,,,,
league,2026-05-10,16:00:00,Royal Albatross Club RACC,Detroit Dragons DEDR,"Belle Isle, Detroit",2026 T20,Division II,,,,,,,,,
league,2026-05-10,16:00:00,Detroit Super Kings CC Bulls DSKB,Detroit Challengers CC DCCC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division I,,,,,,,,,
league,2026-05-10,16:00:00,MIGR Old Monk GROM,West Michigan CC WMCC,Jayne Field,2026 T20,Division I,,,,,,,,,
league,2026-05-10,16:00:00,Motor City United CC MCUC,Michigan Cheetahs MICT,"Lasky Recreation Center, Detroit",2026 T20,Premier,,,,,,,,,
league,2026-05-10,16:00:00,Chargers Warriors Association CHWA,Odia CA Crusaders ODCC,"Bloomer Park, Rochester Hills",2026 T20,Premier,,,,,,,,,
league,2026-05-10,12:30:00,Michigan Challengers MICH,Killers Acadamy CC KLCA,"Belle Isle, Detroit",2026 T20,Division II,,,,,,,,,
league,2026-05-10,12:30:00,Stellar United Sporting Club SUSC,Become Better Novi Cardinals BBNC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Premier,,,,,,,,,
league,2026-05-10,12:30:00,Macomb CC Titans MACT,Michigan Warriors MIWA,"Lasky Recreation Center, Detroit",2026 T20,Premier,,,,,,,,,
league,2026-05-10,12:30:00,Punjab Cricket Club PCC,Killers CC KLCC,Jayne Field,2026 T20,Premier,,,,,,,,,
league,2026-05-10,12:30:00,Greater Detroit CC Panthers GPAN,Brownstown Nirvana CC BSCC,"Bloomer Park, Rochester Hills",2026 T20,Premier,,,,,,,,,
league,2026-05-10,08:45:00,Royal Risers Cricket Club RRCC,Farmington Cricket Club Broncos FCCB,"Belle Isle, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-10,08:45:00,Michigan Bengals CC MBCC,Karnataka Eagles CC KECC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division I,,,,,,,,,
league,2026-05-10,08:45:00,Motown CC MOCC,Smashers Cricket Club SHCC,"Lasky Recreation Center, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-05-10,08:45:00,Farmington CC Kings XI FCXI,Warren Flames Cricket Club WFCC,Jayne Field,2026 T20,Division I,,,,,,,,,
league,2026-05-10,08:45:00,South Lyon Cricket Club  Legends  SLCL,University of Toledo Rockets UTCC,"Bloomer Park, Rochester Hills",2026 T20,Division I,,,,,,,,,
league,2026-05-16,14:30:00,Michigan International CA Chargers MICC,Majestic Lions CC MLCC,"Lyon Oaks Country Park, Wixom",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-16,10:30:00,Royal Knights CC RKCC,Samrats Cricket Club SCC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 F40 & T30,F40,,,,,,,,,
league,2026-05-16,10:30:00,Macomb CC MACC,Greater Detroit CC Panthers GPAN,Jayne Field,2026 F40 & T30,F40,,,,,,,,,
league,2026-05-16,10:30:00,Nirvana CC NCC,Odia CA Crusaders ODCC,"Lasky Recreation Center, Detroit",2026 F40 & T30,F40,,,,,,,,,
league,2026-05-16,09:00:00,South Lyon Cricket Club Eagles SLCE,Big League Arena CC Beasts BLAB,"Lyon Oaks Country Park, Wixom",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-17,16:00:00,Michigan Elite CC MELC,Odia CA Titans ODCT,"Belle Isle, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-17,16:00:00,Mavericks Cricket Club MVCC,Royal Albatross Club RACC,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-05-17,16:00:00,Karnataka Eagles CC KECC,MIGR Single Malt GRSM,"Lasky Recreation Center, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-05-17,16:00:00,Michigan Cheetahs MICT,Troy Cricket Super Kings TCSK,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Premier,,,,,,,,,
league,2026-05-17,16:00:00,Stellar United Sporting Club SUSC,Punjab Cricket Club PCC,"Lyon Oaks Country Park, Wixom",2026 T20,Premier,,,,,,,,,
league,2026-05-17,16:00:00,Michigan Warriors MIWA,Brownstown Nirvana CC BSCC,Jayne Field,2026 T20,Premier,,,,,,,,,
league,2026-05-17,16:00:00,Motor City United CC MCUC,Detroit Royals CC DRCC,"Bloomer Park, Rochester Hills",2026 T20,Premier,,,,,,,,,
league,2026-05-17,14:30:00,Motor City Chargers Cricket Club MCC,Majestic Lions CC MLCC,"Heritage Park, Canton",2026 T20,Division II,,,,,,,,,
league,2026-05-17,12:30:00,South Peninsula Cricket Association SPCA,Prime Strikers PRSD,"Belle Isle, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-17,12:30:00,Troy CA Stars TCAS,Killers Acadamy CC KLCA,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-05-17,12:30:00,Oakland County CC OCCC,Detroit Dynos CC DDCC,Jayne Field,2026 T20,Division II,,,,,,,,,
league,2026-05-17,12:30:00,Dark Invaders CC DARI,Macomb CC Olympians MACO,"Lasky Recreation Center, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-05-17,12:30:00,Northville Cricket Club NLCC,Smashers Cricket Club SHCC,"Bloomer Park, Rochester Hills",2026 T20,Division I,,,,,,,,,
league,2026-05-17,12:30:00,Greater Detroit CC Panthers GPAN,Chargers Warriors Association CHWA,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Premier,,,,,,,,,
league,2026-05-17,12:30:00,Become Better Novi Cardinals BBNC,Macomb CC Titans MACT,"Lyon Oaks Country Park, Wixom",2026 T20,Premier,,,,,,,,,
league,2026-05-17,10:30:00,Michigan International CA Firebirds MIFB,Sparks CC SPCC,"Heritage Park, Canton",2026 T20,Division III,,,,,,,,,
league,2026-05-17,08:45:00,Odia CA Lancers ODCL,Michigan Dreamers CC MIDS,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-05-17,08:45:00,Michigan Rangers CC MIRC,Michigan Bengals CC Warriors MBCW,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-05-17,08:45:00,Big League Arena CC Knights BLAK,The Squad Cricket Club TSXI,Jayne Field,2026 T20,Division II,,,,,,,,,
league,2026-05-17,08:45:00,Scorpions Cricket Club SCRP,Aadukalam CC Chevaliers ADCC,"Belle Isle, Detroit",2026 T20,Division II,,,,,,,,,
league,2026-05-17,08:45:00,Motown CC MOCC,United CC UNCC,"Lyon Oaks Country Park, Wixom",2026 T20,Division I,,,,,,,,,
league,2026-05-17,08:45:00,Detroit Challengers CC DCCC,University of Toledo Rockets UTCC,"Lasky Recreation Center, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-05-17,08:45:00,Detroit Super Kings CC Bulls DSKB,Rockstars ROCK,"Bloomer Park, Rochester Hills",2026 T20,Division I,,,,,,,,,
league,2026-05-23,14:30:00,South Lyon Cricket Club Eagles SLCE,Motown CC MOCC,"Bloomer Park, Rochester Hills",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-23,09:00:00,Prime Strikers PRSD,The Squad Cricket Club TSXI,"Bloomer Park, Rochester Hills",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-24,16:00:00,Sparks CC SPCC,Crowned Strikers CRWN,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division III,,,,,,,,,
league,2026-05-24,16:00:00,Detroit Eagles Cricket Club DEEG,Michigan Rising Stars CC MRSC,Millennium Park,2026 T20,Division III,,,,,,,,,
league,2026-05-24,16:00:00,Farmington Cricket Club Broncos FCCB,Michigan Elite CC MELC,"Bloomer Park, Rochester Hills",2026 T20,Division III,,,,,,,,,
league,2026-05-24,16:00:00,Royal Albatross Club RACC,Motor City Chargers Cricket Club MCC,"Lyon Oaks Country Park, Wixom",2026 T20,Division II,,,,,,,,,
league,2026-05-24,12:30:00,Aadukalam CC Chevaliers ADCC,Detroit Dragons DEDR,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-05-24,12:30:00,Oakland County CC OCCC,Michigan Challengers MICH,"Lyon Oaks Country Park, Wixom",2026 T20,Division II,,,,,,,,,
league,2026-05-24,12:30:00,Mavericks Cricket Club MVCC,Rebels Cricket Club RECC,"Bloomer Park, Rochester Hills",2026 T20,Division II,,,,,,,,,
league,2026-05-24,12:30:00,Hamtramck CC HTCC,Detroit Super Kings CC Bulls DSKB,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division I,,,,,,,,,
league,2026-05-24,08:45:00,Aadukalam CC Chembians ADCB,DETROIT ICE DICE,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division III,,,,,,,,,
league,2026-05-24,08:45:00,Michigan International CA Firebirds MIFB,Sylhet Express SHEP,"Lyon Oaks Country Park, Wixom",2026 T20,Division III,,,,,,,,,
league,2026-05-24,08:45:00,Big League Arena CC Knights BLAK,Detroit Dynos CC DDCC,"Bloomer Park, Rochester Hills",2026 T20,Division II,,,,,,,,,
league,2026-05-24,08:45:00,Sinha Cricket Club SNCC,Mid Michigan CC Heroes MMCH,Millennium Park,2026 T20,Division I,,,,,,,,,
league,2026-05-30,14:30:00,Big League Arena CC Beasts BLAB,The Squad Cricket Club TSXI,"Joseph J. Delia Jr. Park, Sterling Heights",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-30,14:30:00,Mavericks Cricket Club MVCC,Michigan International CA Chargers MICC,"Lyon Oaks Country Park, Wixom",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-30,14:30:00,United CC UNCC,Michigan Rangers CC MIRC,"Belle Isle, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-30,10:30:00,Macomb CC MACC,Odia CA Crusaders ODCC,"Bloomer Park, Rochester Hills",2026 F40 & T30,F40,,,,,,,,,
league,2026-05-30,10:30:00,Greater Detroit CC Panthers GPAN,Royal Knights CC RKCC,Jayne Field,2026 F40 & T30,F40,,,,,,,,,
league,2026-05-30,10:30:00,Samrats Cricket Club SCC,Nirvana CC NCC,"Lasky Recreation Center, Detroit",2026 F40 & T30,F40,,,,,,,,,
league,2026-05-30,09:00:00,Royal Bengals CC RBCC,Farmington CC Kings XI FCXI,"Joseph J. Delia Jr. Park, Sterling Heights",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-30,09:00:00,Prime Strikers PRSD,Michigan Warriors MIWA,"Lyon Oaks Country Park, Wixom",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-30,09:00:00,Dark Invaders CC DARI,Michigan International CA Falcons MICF,"Belle Isle, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-05-31,16:00:00,Majestic Lions CC MLCC,Detroit Dragons DEDR,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-05-31,16:00:00,Rising Stars CC RIST,Oakland County CC OCCC,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-05-31,16:00:00,Big League Arena CC Knights BLAK,Royal Knights CC Terminators RKTE,"Lyon Oaks Country Park, Wixom",2026 T20,Division II,,,,,,,,,
league,2026-05-31,16:00:00,Sixers Cricket Club SIXC,Detroit Dynos CC DDCC,"Belle Isle, Detroit",2026 T20,Division II,,,,,,,,,
league,2026-05-31,16:00:00,Hamtramck CC HTCC,Samrats Cricket Club SCC,"Lasky Recreation Center, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-05-31,16:00:00,Dark Invaders CC DARI,Mid Michigan CC Heroes MMCH,Jayne Field,2026 T20,Division I,,,,,,,,,
league,2026-05-31,16:00:00,Sinha Cricket Club SNCC,Rockstars ROCK,"Bloomer Park, Rochester Hills",2026 T20,Division I,,,,,,,,,
league,2026-05-31,16:00:00,Stellar United Sporting Club SUSC,Chargers Warriors Association CHWA,"Boulan Park, Troy",2026 T20,Premier,,,,,,,,,
league,2026-05-31,14:30:00,Northville Cricket Club Risers NLCR,Novi Vikings NVVK,"Trombly Park, Warren",2026 T20,Division III,,,,,,,,,
league,2026-05-31,14:30:00,Deccan Tigers Cricket Club DTCC,Farmington Cricket Club Broncos FCCB,"Heritage Park, Canton",2026 T20,Division III,,,,,,,,,
league,2026-05-31,12:30:00,Detroit Eagles Cricket Club DEEG,MACHI CC MACH,"Belle Isle, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-31,12:30:00,Killers Acadamy CC KLCA,South Lyon Cricket Club Avengers SLCA,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-05-31,12:30:00,Detroit Super Kings CC Bulls DSKB,South Lyon Cricket Club  Legends  SLCL,Millennium Park,2026 T20,Division I,,,,,,,,,
league,2026-05-31,12:30:00,Killers CC KLCC,Motor City United CC MCUC,"Boulan Park, Troy",2026 T20,Premier,,,,,,,,,
league,2026-05-31,12:30:00,Brownstown Nirvana CC BSCC,Odia CA Crusaders ODCC,"Lyon Oaks Country Park, Wixom",2026 T20,Premier,,,,,,,,,
league,2026-05-31,12:30:00,Punjab Cricket Club PCC,Troy Cricket Super Kings TCSK,"Lasky Recreation Center, Detroit",2026 T20,Premier,,,,,,,,,
league,2026-05-31,12:30:00,Michigan Warriors MIWA,Become Better Novi Cardinals BBNC,Jayne Field,2026 T20,Premier,,,,,,,,,
league,2026-05-31,12:30:00,Detroit Royals CC DRCC,Michigan Cheetahs MICT,"Bloomer Park, Rochester Hills",2026 T20,Premier,,,,,,,,,
league,2026-05-31,11:00:00,West Michigan CC WMCC,Motown CC MOCC,Grand Rapids (Earle Brewer Park),2026 T20,Division I,,,,,,,,,
league,2026-05-31,10:30:00,The Squad Cricket Club TSXI,Troy CA Stars TCAS,"Trombly Park, Warren",2026 T20,Division II,,,,,,,,,
league,2026-05-31,10:30:00,Mavericks Cricket Club MVCC,Michigan Dreamers CC MIDS,"Heritage Park, Canton",2026 T20,Division II,,,,,,,,,
league,2026-05-31,08:45:00,Michigan Rising Stars CC MRSC,South Peninsula Cricket Association SPCA,"Belle Isle, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-05-31,08:45:00,Michigan Rangers CC MIRC,Aadukalam CC Chevaliers ADCC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-05-31,08:45:00,Scorpions Cricket Club SCRP,Rebels Cricket Club RECC,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-05-31,08:45:00,Michigan Bengals CC MBCC,Metro Detroit CC MDCC,"Lyon Oaks Country Park, Wixom",2026 T20,Division I,,,,,,,,,
league,2026-05-31,08:45:00,Macomb CC Olympians MACO,Michigan International CA Thunderbirds MICA,"Lasky Recreation Center, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-05-31,08:45:00,Farmington CC Kings XI FCXI,MIGR Single Malt GRSM,Jayne Field,2026 T20,Division I,,,,,,,,,
league,2026-05-31,08:45:00,MIGR Old Monk GROM,Warren Flames Cricket Club WFCC,"Bloomer Park, Rochester Hills",2026 T20,Division I,,,,,,,,,
league,2026-06-06,14:30:00,Big League Arena CC Beasts BLAB,Royal Bengals CC RBCC,"Lyon Oaks Country Park, Wixom",2026 F40 & T30,T30,,,,,,,,,
league,2026-06-06,14:30:00,South Peninsula Cricket Association SPCA,The Squad Cricket Club TSXI,Clinton Twp,2026 F40 & T30,T30,,,,,,,,,
league,2026-06-06,14:30:00,Majestic Lions CC MLCC,Detroit Super Kings CC Bulls DSKB,"Belle Isle, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-06-06,10:30:00,Nirvana CC NCC,Greater Detroit CC Panthers GPAN,"Joseph J. Delia Jr. Park, Sterling Heights",2026 F40 & T30,F40,,,,,,,,,
league,2026-06-06,10:30:00,Odia CA Crusaders ODCC,Samrats Cricket Club SCC,Jayne Field,2026 F40 & T30,F40,,,,,,,,,
league,2026-06-06,10:30:00,Royal Knights CC RKCC,Macomb CC MACC,"Lasky Recreation Center, Detroit",2026 F40 & T30,F40,,,,,,,,,
league,2026-06-06,09:00:00,Farmington CC Kings XI FCXI,Michigan International CA Falcons MICF,"Lyon Oaks Country Park, Wixom",2026 F40 & T30,T30,,,,,,,,,
league,2026-06-06,09:00:00,Mavericks Cricket Club MVCC,Michigan Warriors MIWA,Clinton Twp,2026 F40 & T30,T30,,,,,,,,,
league,2026-06-06,09:00:00,Prime Strikers PRSD,Michigan Rangers CC MIRC,"Belle Isle, Detroit",2026 F40 & T30,T30,,,,,,,,,
league,2026-06-07,16:00:00,Farmington Cricket Club Broncos FCCB,Novi Vikings NVVK,Millennium Park,2026 T20,Division III,,,,,,,,,
league,2026-06-07,16:00:00,Crowned Strikers CRWN,South Peninsula Cricket Association SPCA,Jayne Field,2026 T20,Division III,,,,,,,,,
league,2026-06-07,16:00:00,Northville Cricket Club Risers NLCR,Odia CA Titans ODCT,Clinton Twp,2026 T20,Division III,,,,,,,,,
league,2026-06-07,16:00:00,The Squad Cricket Club TSXI,Sixers Cricket Club SIXC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-06-07,16:00:00,West Michigan CC WMCC,Smashers Cricket Club SHCC,"Lyon Oaks Country Park, Wixom",2026 T20,Division I,,,,,,,,,
league,2026-06-07,16:00:00,Rockstars ROCK,Hamtramck CC HTCC,"Belle Isle, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-06-07,16:00:00,Brownstown Nirvana CC BSCC,Punjab Cricket Club PCC,"Boulan Park, Troy",2026 T20,Premier,,,,,,,,,
league,2026-06-07,16:00:00,Macomb CC Titans MACT,Motor City United CC MCUC,"Lasky Recreation Center, Detroit",2026 T20,Premier,,,,,,,,,
league,2026-06-07,16:00:00,Troy Cricket Super Kings TCSK,Michigan Warriors MIWA,"Bloomer Park, Rochester Hills",2026 T20,Premier,,,,,,,,,
league,2026-06-07,14:30:00,Michigan Dreamers CC MIDS,Scorpions Cricket Club SCRP,"Trombly Park, Warren",2026 T20,Division II,,,,,,,,,
league,2026-06-07,14:30:00,Odia CA Lancers ODCL,Royal Albatross Club RACC,"Murphy Park, Pontiac",2026 T20,Division II,,,,,,,,,
league,2026-06-07,14:30:00,Troy CA Stars TCAS,Oakland County CC OCCC,"Heritage Park, Canton",2026 T20,Division II,,,,,,,,,
league,2026-06-07,12:30:00,MACHI CC MACH,Sylhet Express SHEP,Clinton Twp,2026 T20,Division III,,,,,,,,,
league,2026-06-07,12:30:00,Rebels Cricket Club RECC,Majestic Lions CC MLCC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-06-07,12:30:00,Michigan Challengers MICH,Big League Arena CC Knights BLAK,Millennium Park,2026 T20,Division II,,,,,,,,,
league,2026-06-07,12:30:00,Michigan International CA Thunderbirds MICA,South Lyon Cricket Club  Legends  SLCL,"Lyon Oaks Country Park, Wixom",2026 T20,Division I,,,,,,,,,
league,2026-06-07,12:30:00,Detroit Super Kings CC Bulls DSKB,University of Toledo Rockets UTCC,"Belle Isle, Detroit",2026 T20,Division I,,,,,,,,,
league,2026-06-07,12:30:00,Become Better Novi Cardinals BBNC,Michigan Cheetahs MICT,"Boulan Park, Troy",2026 T20,Premier,,,,,,,,,
league,2026-06-07,12:30:00,Killers CC KLCC,Greater Detroit CC Panthers GPAN,"Lasky Recreation Center, Detroit",2026 T20,Premier,,,,,,,,,
league,2026-06-07,12:30:00,Detroit Royals CC DRCC,Chargers Warriors Association CHWA,Jayne Field,2026 T20,Premier,,,,,,,,,
league,2026-06-07,12:30:00,Odia CA Crusaders ODCC,Stellar United Sporting Club SUSC,"Bloomer Park, Rochester Hills",2026 T20,Premier,,,,,,,,,
league,2026-06-07,10:30:00,Farmington CC Falcons FAFL,MYCA Elite MYCA,"Trombly Park, Warren",2026 T20,Division III,,,,,,,,,
league,2026-06-07,10:30:00,Deccan Tigers Cricket Club DTCC,Farmington Stars FSCC,"Murphy Park, Pontiac",2026 T20,Division III,,,,,,,,,
league,2026-06-07,10:30:00,Michigan Bengals CC Warriors MBCW,Mavericks Cricket Club MVCC,"Heritage Park, Canton",2026 T20,Division II,,,,,,,,,
league,2026-06-07,08:45:00,Aadukalam CC Chembians ADCB,Michigan International CA Firebirds MIFB,Millennium Park,2026 T20,Division III,,,,,,,,,
league,2026-06-07,08:45:00,Royal Risers Cricket Club RRCC,Michigan Elite CC MELC,"Lasky Recreation Center, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-06-07,08:45:00,Sparks CC SPCC,DETROIT ICE DICE,"Belle Isle, Detroit",2026 T20,Division III,,,,,,,,,
league,2026-06-07,08:45:00,Royal Knights CC Terminators RKTE,Lions Cricket Club LCC,"Joseph J. Delia Jr. Park, Sterling Heights",2026 T20,Division II,,,,,,,,,
league,2026-06-07,08:45:00,Detroit Dynos CC DDCC,South Lyon Cricket Club Avengers SLCA,Clinton Twp,2026 T20,Division II,,,,,,,,,
league,2026-06-07,08:45:00,Karnataka Eagles CC KECC,United CC UNCC,"Lyon Oaks Country Park, Wixom",2026 T20,Division I,,,,,,,,,
